Module                  Size  Used by
cmdlinepart            16384  0
videobuf2_v4l2         36864  1 uvcvideo
ghash_clmulni_intel    12288  0
btrtl                  32768  1 btusb
snd_intel_dspcfg       45056  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
spi_nor               167936  0
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
aesni_intel            98304  5
processor_thermal_device_pci_legacy    12288  0
btintel                69632  1 btusb
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
rapl                   20480  0
nls_iso8859_1          12288  1
ee1004                 16384  0
intel_rapl_msr         20480  0
mei_pxp                16384  0
mei_hdcp               28672  0
mtd                    98304  3 spi_nor,cmdlinepart
iwlmvm                897024  0
videodev              364544  2 videobuf2_v4l2,uvcvideo
processor_thermal_device    24576  1 processor_thermal_device_pci_legacy
btbcm                  24576  1 btusb
snd_hwdep              24576  1 snd_hda_codec
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
intel_cstate           20480  0
i915                 4837376  29
btmtk                  36864  1 btusb
mac80211             1851392  1 iwlmvm
processor_thermal_wt_hint    16384  1 processor_thermal_device
think_lmi              45056  0
libarc4                12288  1 mac80211
snd_soc_core          417792  7 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_soc_hdac_hda
platform_temperature_control    20480  1 processor_thermal_device
bluetooth            1032192  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
processor_thermal_soc_slider    16384  1 processor_thermal_device
snd_compress           36864  2 snd_soc_avs,snd_soc_core
drm_buddy              28672  1 i915
processor_thermal_rfim    40960  1 processor_thermal_device
ac97_bus               12288  1 snd_soc_core
processor_thermal_rapl    16384  1 processor_thermal_device
firmware_attributes_class    12288  1 think_lmi
snd_pcm_dmaengine      20480  1 snd_soc_core
ttm                   126976  1 i915
i2c_i801               36864  0
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
iwlwifi               647168  1 iwlmvm
nxp_nci_i2c            16384  0
snd_pcm               200704  14 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
i2c_smbus              20480  1 i2c_i801
processor_thermal_wt_req    12288  1 processor_thermal_device
drm_display_helper    290816  1 i915
spi_intel_pci          12288  0
nxp_nci                12288  1 nxp_nci_i2c
wmi_bmof               12288  0
intel_wmi_thunderbolt    16384  0
snd_ctl_led            24576  0
processor_thermal_power_floor    12288  1 processor_thermal_device
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
i2c_mux                12288  1 i2c_i801
nci                    90112  2 nxp_nci,nxp_nci_i2c
cfg80211             1462272  3 iwlmvm,iwlwifi,mac80211
spi_intel              36864  1 spi_intel_pci
cec                    98304  2 drm_display_helper,i915
intel_pch_thermal      16384  0
mei_me                 53248  2
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
rc_core                73728  1 cec
thinkpad_acpi         163840  0
nfc                   143360  2 nci,nxp_nci
i2c_algo_bit           16384  1 i915
intel_soc_dts_iosf     16384  1 processor_thermal_device_pci_legacy
int3403_thermal        16384  0
nvram                  20480  1 thinkpad_acpi
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
int3400_thermal        24576  0
acpi_thermal_rel       24576  1 int3400_thermal
acpi_pad              184320  0
input_leds             12288  0
joydev                 32768  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
ucsi_acpi              12288  0
typec_ucsi             69632  1 ucsi_acpi
typec                 118784  1 typec_ucsi
nvme                   61440  2
rtsx_pci_sdmmc         36864  0
snd                   143360  22 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,thinkpad_acpi,snd_hda_codec_alc269,snd_soc_core,snd_pcm,snd_rawmidi
soundcore              16384  2 snd_ctl_led,snd
nvme_core             233472  3 nvme
video                  77824  2 thinkpad_acpi,i915
intel_lpss_pci         28672  0
nvme_keyring           20480  1 nvme_core
psmouse               217088  0
e1000e                360448  0
intel_lpss             12288  1 intel_lpss_pci
thunderbolt           540672  1 typec
nvme_auth              28672  1 nvme_core
rtsx_pci              143360  1 rtsx_pci_sdmmc
idma64                 20480  0
platform_profile       20480  2 thinkpad_acpi,processor_thermal_soc_slider
sparse_keymap          12288  1 thinkpad_acpi
wmi                    28672  4 video,intel_wmi_thunderbolt,wmi_bmof,think_lmi
pinctrl_cannonlake     36864  3
